Pattern	Desired Output	Network Output
1	0.000000	0.164668
2	1.000000	0.633250
3	1.000000	0.633250
4	1.000000	0.633250
5	0.000000	0.633250
6	1.000000	0.633250
7	1.000000	0.633250
8	1.000000	0.633250
9	0.000000	0.633250
10	1.000000	0.633250
11	1.000000	0.633250
12	1.000000	0.582057
13	0.000000	0.633250
14	0.000000	0.633250
15	0.000000	0.633250
16	1.000000	0.633250
17	0.000000	0.632853
18	1.000000	0.618851
19	1.000000	0.633217
20	1.000000	0.633250
21	1.000000	0.633250
22	1.000000	0.633250
23	1.000000	0.633250
24	1.000000	0.633249
25	1.000000	0.633249
26	0.000000	0.633249
27	0.000000	0.398974
28	1.000000	0.584925
29	0.000000	0.633246
30	0.000000	0.609317
31	1.000000	0.627931
32	1.000000	0.617376
33	1.000000	0.363511
34	0.000000	0.633241
35	0.000000	0.363511
36	0.000000	0.622651
37	1.000000	0.617376
38	1.000000	0.632186
39	1.000000	0.622651
40	1.000000	0.633145
41	1.000000	0.292806
42	1.000000	0.618354
43	0.000000	0.633243
44	1.000000	0.532450
45	1.000000	0.294164
46	0.000000	0.301484
47	1.000000	0.294164
48	0.000000	0.175675
49	0.000000	0.297182
50	1.000000	0.629754
51	1.000000	0.632847
52	0.000000	0.425089
53	1.000000	0.586555
54	1.000000	0.628616
55	0.000000	0.295164
56	0.000000	0.309342
57	0.000000	0.396925
58	0.000000	0.627436
59	0.000000	0.626642
60	0.000000	0.164651
61	0.000000	0.630462
62	1.000000	0.200040
63	0.000000	0.520762
64	1.000000	0.164669
65	0.000000	0.164766
66	0.000000	0.164698
67	0.000000	0.226737
68	0.000000	0.616564
69	0.000000	0.343733
70	1.000000	0.616564
71	0.000000	0.464979
72	0.000000	0.433980
73	0.000000	0.293029
74	1.000000	0.292391
75	0.000000	0.292391
76	1.000000	0.292391
77	1.000000	0.601722
78	1.000000	0.303265
79	0.000000	0.164668
80	0.000000	0.164462
81	0.000000	0.293085
82	0.000000	0.292248
83	1.000000	0.292248
84	0.000000	0.292248
85	0.000000	0.292248
86	0.000000	0.292248
87	0.000000	0.292248
88	1.000000	0.292248
89	0.000000	0.292248
90	0.000000	0.292248
91	0.000000	0.292248
92	0.000000	0.292248
93	0.000000	0.164668
94	0.000000	0.292946
95	1.000000	0.164668
96	0.000000	0.164669
97	0.000000	0.350420
98	1.000000	0.292263
99	0.000000	0.507120
100	0.000000	0.292731
101	0.000000	0.164668
102	0.000000	0.292321
103	0.000000	0.334903
104	0.000000	0.077393
105	0.000000	0.164668
106	0.000000	0.292618
107	0.000000	0.164651
108	0.000000	0.052458
109	0.000000	0.052458
110	0.000000	0.292286
111	0.000000	0.292286
112	0.000000	0.292286
113	0.000000	0.292286
114	1.000000	0.292286
115	0.000000	0.292286
116	0.000000	0.292286
117	0.000000	0.292286
118	0.000000	0.292286
119	0.000000	0.292286
120	1.000000	0.292286
121	0.000000	0.292286
122	0.000000	0.136359
123	0.000000	0.292286
124	1.000000	0.290646
125	0.000000	0.164627
126	1.000000	0.142732
127	0.000000	0.131080
128	0.000000	0.164667
129	0.000000	0.052637
130	0.000000	0.089165
131	0.000000	0.164667
132	0.000000	0.164662
133	0.000000	0.292245
134	0.000000	0.055588
135	0.000000	0.164668
136	0.000000	0.135577
137	0.000000	0.164668
138	0.000000	0.045876
139	0.000000	0.164667
140	0.000000	0.140663
141	1.000000	0.163860
142	1.000000	0.164665
143	0.000000	0.057452
144	0.000000	0.164268
145	0.000000	0.153125
146	1.000000	0.069130
147	0.000000	0.069130
148	0.000000	0.069130
149	0.000000	0.292210
150	0.000000	0.068967
151	0.000000	0.164668
152	0.000000	0.045138
153	0.000000	0.164618
154	0.000000	0.160729
155	0.000000	0.274586
156	0.000000	0.128885
157	0.000000	0.164668
158	0.000000	0.264164
159	0.000000	0.164668
160	0.000000	0.060190
161	0.000000	0.164663
162	0.000000	0.164409
163	0.000000	0.090446
164	0.000000	0.151335
165	0.000000	0.164560
166	0.000000	0.045287
167	0.000000	0.045287
168	0.000000	0.045287
169	1.000000	0.045287
170	0.000000	0.045287
171	1.000000	0.045023
172	0.000000	0.045018
173	0.000000	0.162958
174	0.000000	0.164668
175	0.000000	0.164668
176	0.000000	0.164668
177	0.000000	0.146503
178	0.000000	0.103161
179	0.000000	0.164668
180	0.000000	0.159500
181	0.000000	0.092403
182	1.000000	0.164668
183	0.000000	0.045749
184	0.000000	0.045695
185	0.000000	0.047409
186	0.000000	0.160625
187	0.000000	0.164668
188	0.000000	0.162770
189	0.000000	0.164572
190	0.000000	0.069920
191	0.000000	0.045987
192	0.000000	0.045987
193	0.000000	0.045987
194	0.000000	0.045987
195	0.000000	0.045987
196	0.000000	0.045987
197	1.000000	0.164661
198	0.000000	0.063503
199	0.000000	0.063503
200	0.000000	0.164629
201	0.000000	0.146207
202	0.000000	0.091599
203	0.000000	0.047276
204	0.000000	0.047276
205	0.000000	0.047276
206	0.000000	0.047276
207	0.000000	0.047276
208	0.000000	0.047045
209	0.000000	0.045121
210	1.000000	0.045084
211	0.000000	0.164665
212	0.000000	0.156095
213	0.000000	0.164667
214	1.000000	0.045728
215	0.000000	0.145571
216	0.000000	0.073982
217	0.000000	0.104751
218	0.000000	0.127692
219	0.000000	0.156610
220	0.000000	0.156610
221	0.000000	0.164668
222	0.000000	0.151576
223	0.000000	0.162139
224	0.000000	0.146817
225	0.000000	0.145774
226	0.000000	0.062175
227	0.000000	0.062175
228	0.000000	0.164667
229	0.000000	0.062175
230	0.000000	0.062175
231	0.000000	0.159660
232	0.000000	0.091042
233	0.000000	0.045024
234	1.000000	0.079484
235	0.000000	0.079484
236	0.000000	0.079484
237	0.000000	0.079484
238	0.000000	0.079484
239	0.000000	0.079484
240	0.000000	0.079484
241	0.000000	0.162946
242	0.000000	0.079484
243	0.000000	0.164629
244	0.000000	0.045024
245	0.000000	0.100898
246	0.000000	0.047413
247	0.000000	0.077048
248	0.000000	0.164373
249	0.000000	0.164668
