Pattern	Desired Output	Network Output
111	0.000000	0.202829
112	0.000000	0.202829
113	0.000000	0.202829
114	1.000000	0.202829
115	0.000000	0.202829
116	0.000000	0.202829
117	0.000000	0.202829
118	0.000000	0.202829
119	0.000000	0.202829
120	1.000000	0.202829
121	0.000000	0.202829
122	0.000000	0.135742
123	0.000000	0.202829
124	1.000000	0.201352
125	0.000000	0.200339
126	1.000000	0.202092
127	0.000000	0.199258
128	0.000000	0.152040
129	0.000000	0.202510
130	0.000000	0.127758
131	0.000000	0.032220
132	0.000000	0.087119
133	0.000000	0.203160
134	0.000000	0.201921
135	0.000000	0.222885
136	0.000000	0.201786
137	0.000000	0.150018
138	0.000000	0.141889
139	0.000000	0.188753
140	0.000000	0.199570
141	1.000000	0.030385
142	1.000000	0.134920
143	0.000000	0.151375
144	0.000000	0.181384
145	0.000000	0.190045
146	1.000000	0.201625
147	0.000000	0.201625
148	0.000000	0.201625
149	0.000000	0.201555
150	0.000000	0.200781
151	0.000000	0.145001
152	0.000000	0.202666
153	0.000000	0.193223
154	0.000000	0.196803
155	0.000000	0.201500
156	0.000000	0.199617
157	0.000000	0.033681
158	0.000000	0.201250
159	0.000000	0.114063
160	0.000000	0.199406
161	0.000000	0.142958
162	0.000000	0.183122
163	0.000000	0.199944
164	0.000000	0.197408
165	0.000000	0.035541
166	0.000000	0.202429
167	0.000000	0.202429
168	0.000000	0.202429
169	1.000000	0.202429
170	0.000000	0.202429
171	1.000000	0.042776
172	0.000000	0.038862
173	0.000000	0.188873
174	0.000000	0.029753
175	0.000000	0.030112
176	0.000000	0.043764
177	0.000000	0.195247
178	0.000000	0.195353
179	0.000000	0.045847
180	0.000000	0.032205
181	0.000000	0.192416
182	1.000000	0.032862
183	0.000000	0.183442
184	0.000000	0.199235
185	0.000000	0.181838
186	0.000000	0.172524
187	0.000000	0.113379
188	0.000000	0.030660
189	0.000000	0.072171
190	0.000000	0.179704
191	0.000000	0.201326
192	0.000000	0.201326
193	0.000000	0.201326
194	0.000000	0.201326
195	0.000000	0.201326
196	0.000000	0.201326
197	1.000000	0.040684
198	0.000000	0.171611
199	0.000000	0.171611
200	0.000000	0.034533
201	0.000000	0.179403
202	0.000000	0.154872
203	0.000000	0.199235
204	0.000000	0.199235
205	0.000000	0.199235
206	0.000000	0.199235
207	0.000000	0.199235
208	0.000000	0.187729
209	0.000000	0.031014
210	1.000000	0.173133
211	0.000000	0.046815
212	0.000000	0.154340
213	0.000000	0.046568
214	1.000000	0.165275
215	0.000000	0.029381
216	0.000000	0.036919
217	0.000000	0.030183
218	0.000000	0.154876
219	0.000000	0.096209
220	0.000000	0.096209
221	0.000000	0.029592
222	0.000000	0.074828
223	0.000000	0.074290
224	0.000000	0.063297
225	0.000000	0.117258
226	0.000000	0.174375
227	0.000000	0.174375
228	0.000000	0.033551
229	0.000000	0.174375
230	0.000000	0.174375
231	0.000000	0.053829
232	0.000000	0.101810
233	0.000000	0.029435
234	1.000000	0.145753
235	0.000000	0.145753
236	0.000000	0.145753
237	0.000000	0.145753
238	0.000000	0.145753
239	0.000000	0.145753
240	0.000000	0.145753
241	0.000000	0.032555
242	0.000000	0.145753
243	0.000000	0.029166
244	0.000000	0.029202
245	0.000000	0.052718
246	0.000000	0.032868
247	0.000000	0.029637
248	0.000000	0.029385
249	0.000000	0.029153
