Pattern	Desired Output	Network Output
1	0.000000	0.029153
2	1.000000	0.591071
3	1.000000	0.593091
4	1.000000	0.589923
5	0.000000	0.580288
6	1.000000	0.583850
7	1.000000	0.568581
8	1.000000	0.592941
9	0.000000	0.593072
10	1.000000	0.592350
11	1.000000	0.592975
12	1.000000	0.390803
13	0.000000	0.593039
14	0.000000	0.593007
15	0.000000	0.592867
16	1.000000	0.592764
17	0.000000	0.588273
18	1.000000	0.584876
19	1.000000	0.416713
20	1.000000	0.592684
21	1.000000	0.592880
22	1.000000	0.592225
23	1.000000	0.592057
24	1.000000	0.592298
25	1.000000	0.591684
26	0.000000	0.592815
27	0.000000	0.575420
28	1.000000	0.590989
29	0.000000	0.570652
30	0.000000	0.512162
31	1.000000	0.592696
32	1.000000	0.439783
33	1.000000	0.557932
34	0.000000	0.592581
35	0.000000	0.557932
36	0.000000	0.592083
37	1.000000	0.439783
38	1.000000	0.592458
39	1.000000	0.592083
40	1.000000	0.591870
41	1.000000	0.240697
42	1.000000	0.591491
43	0.000000	0.584339
44	1.000000	0.515048
45	1.000000	0.203187
46	0.000000	0.175009
47	1.000000	0.203187
48	0.000000	0.586250
49	0.000000	0.353549
50	1.000000	0.487856
51	1.000000	0.579726
52	0.000000	0.219698
53	1.000000	0.585058
54	1.000000	0.483043
55	0.000000	0.291086
56	0.000000	0.402387
57	0.000000	0.213292
58	0.000000	0.270872
59	0.000000	0.438738
60	0.000000	0.202213
61	0.000000	0.577326
62	1.000000	0.509785
63	0.000000	0.572837
64	1.000000	0.158783
65	0.000000	0.557974
66	0.000000	0.204519
67	0.000000	0.313379
68	0.000000	0.317975
69	0.000000	0.558930
70	1.000000	0.317975
71	0.000000	0.518930
72	0.000000	0.483479
73	0.000000	0.202909
74	1.000000	0.210193
75	0.000000	0.210193
76	1.000000	0.210193
77	1.000000	0.265160
78	1.000000	0.210089
79	0.000000	0.212661
80	0.000000	0.202277
81	0.000000	0.221666
82	0.000000	0.205059
83	1.000000	0.205059
84	0.000000	0.205059
85	0.000000	0.205059
86	0.000000	0.205059
87	0.000000	0.205059
88	1.000000	0.205059
89	0.000000	0.205059
90	0.000000	0.205059
91	0.000000	0.205059
92	0.000000	0.205059
93	0.000000	0.290195
94	0.000000	0.217676
95	1.000000	0.461842
96	0.000000	0.273895
97	0.000000	0.225860
98	1.000000	0.202990
99	0.000000	0.218623
100	0.000000	0.211952
101	0.000000	0.203991
102	0.000000	0.206385
103	0.000000	0.204592
104	0.000000	0.202579
105	0.000000	0.200316
106	0.000000	0.202806
107	0.000000	0.123748
108	0.000000	0.057899
109	0.000000	0.057899
110	0.000000	0.202829
